Entity,Code,Year,Urban usage (number of people)
Afghanistan,AFG,2024,4230371.5
Algeria,DZA,2024,25576892
Australia,AUS,2024,23091460
Azerbaijan,AZE,2024,4587796.5
Bangladesh,BGD,2024,38862228
Benin,BEN,2024,2084239.4
Bhutan,BTN,2024,219074.44
Botswana,BWA,2024,1276188.4
Brazil,BRA,2024,169173600
Cambodia,KHM,2024,2624979.2
Central African Republic,CAF,2024,264735.34
Chad,TCD,2024,881446.9
Chile,CHL,2024,17191366
China,CHN,2024,911762050
Colombia,COL,2024,35761224
Costa Rica,CRI,2024,3429660.8
Cote d'Ivoire,CIV,2024,8814656
Croatia,HRV,2024,2203935.5
Czechia,CZE,2024,7864831
Democratic Republic of Congo,COD,2024,12682581
Dominican Republic,DOM,2024,4560710.5
Ecuador,ECU,2024,9712335
El Salvador,SLV,2024,3646611.5
Eswatini,SWZ,2024,238980.19
Ethiopia,ETH,2024,11997098
Fiji,FJI,2024,288781.1
France,FRA,2024,54599076
Gambia,GMB,2024,1229159.5
Georgia,GEO,2024,2079881.6
Germany,DEU,2024,65859492
Ghana,GHA,2024,12411586
Guatemala,GTM,2024,5096698
Guinea-Bissau,GNB,2024,364544.22
Guyana,GUY,2024,172626.19
Honduras,HND,2024,5164173
Hungary,HUN,2024,7080899
India,IND,2024,443845250
Indonesia,IDN,2024,58177390
Iran,IRN,2024,68465980
Iraq,IRQ,2024,21371340
Ireland,IRL,2024,3271043
Israel,ISR,2024,8678364
Kiribati,KIR,2024,16411.115
Kuwait,KWT,2024,4934507
Kyrgyzstan,KGZ,2024,2221725
Laos,LAO,2024,1537205.1
Lesotho,LSO,2024,501031.22
Lithuania,LTU,2024,1957638.5
Luxembourg,LUX,2024,619741.44
Madagascar,MDG,2024,5082971
Malawi,MWI,2024,2110685
Monaco,MCO,2024,38631
Mongolia,MNG,2024,1333766.6
Montenegro,MNE,2024,383792.84
Morocco,MAR,2024,22811034
Mozambique,MOZ,2024,6474335.5
Myanmar,MMR,2024,13132252
Nauru,NRU,2024,2229.688
Nepal,NPL,2024,1566162.8
Nigeria,NGA,2024,46153700
North Macedonia,MKD,2024,924700.9
Pakistan,PAK,2024,43798724
Palau,PLW,2024,14321.841
Palestine,PSE,2024,3503147.2
Paraguay,PRY,2024,3176543.2
Peru,PER,2024,15229290
Philippines,PHL,2024,35038228
Portugal,PRT,2024,6916755.5
Romania,ROU,2024,9908855
Rwanda,RWA,2024,1377190.1
Samoa,WSM,2024,34924.73
San Marino,SMR,2024,32886.543
Sao Tome and Principe,STP,2024,73101.03
Senegal,SEN,2024,3810619
Serbia,SRB,2024,3153697.2
Sierra Leone,SLE,2024,483603.94
Singapore,SGP,2024,5832387
South Africa,ZAF,2024,33540962
Spain,ESP,2024,39054600
Sri Lanka,LKA,2024,3593459
Suriname,SUR,2024,267668.8
Tanzania,TZA,2024,11811413
Togo,TGO,2024,1484057.1
Tonga,TON,2024,12301.585
Trinidad and Tobago,TTO,2024,590226
Tunisia,TUN,2024,5907713.5
Turkmenistan,TKM,2024,3961409.8
Tuvalu,TUV,2024,669.95825
Uganda,UGA,2024,5474701
Ukraine,UKR,2024,23491988
United States,USA,2024,281796030
Uruguay,URY,2024,3070457
Uzbekistan,UZB,2024,16369416
Vanuatu,VUT,2024,32785.3
Vietnam,VNM,2024,30778836
Zambia,ZMB,2024,5018318.5
Zimbabwe,ZWE,2024,3012174.8
