Entity,Code,Year,Nitrogen oxides,Sulfur dioxide,Carbon monoxide,Black carbon,Ammonia,Non-methane volatile organic compounds
China,CHN,1750,26179.973,38515.68,17587494,156608.14,1057514.8,1726293.1
China,CHN,1751,26257.512,38626.562,17638128,157059.02,1060749.6,1731284.9
China,CHN,1752,26335.031,38737.402,17688740,157509.69,1063984.4,1736275
China,CHN,1753,26412.533,38848.195,17739332,157960.19,1067219.1,1741263
China,CHN,1754,26490.018,38958.938,17789902,158410.48,1070453.6,1746248.9
China,CHN,1755,26567.48,39069.637,17840450,158860.6,1073688.1,1751232.9
China,CHN,1756,26644.926,39180.29,17890976,159310.5,1076922.4,1756215
China,CHN,1757,26722.355,39290.895,17941482,159760.23,1080156.6,1761195.1
China,CHN,1758,26799.764,39401.45,17991966,160209.78,1083390.8,1766173.2
China,CHN,1759,26877.156,39511.96,18042430,160659.12,1086624.8,1771149.4
China,CHN,1760,26954.525,39622.426,18092872,161108.28,1089858.6,1776123.6
China,CHN,1761,26991.363,39672.98,18115956,161313.83,1091464.1,1778414.5
China,CHN,1762,27028.193,39723.508,18139028,161519.28,1093069.6,1780704.4
China,CHN,1763,27065.01,39774.008,18162088,161724.62,1094675,1782993.1
China,CHN,1764,27101.818,39824.484,18185136,161929.88,1096280.2,1785280.9
China,CHN,1765,27138.62,39874.938,18208176,162135.02,1097885.5,1787567.5
China,CHN,1766,27175.404,39925.363,18231202,162340.05,1099490.9,1789853
China,CHN,1767,27212.184,39975.76,18254214,162544.97,1101096,1792137.5
China,CHN,1768,27248.951,40026.133,18277216,162749.78,1102700.9,1794420.8
China,CHN,1769,27285.707,40076.484,18300208,162954.52,1104306,1796703.1
China,CHN,1770,27322.455,40126.81,18323188,163159.14,1105910.9,1798984.4
China,CHN,1771,28021.633,41149.547,18790204,167317.69,1134343.5,1844864.8
China,CHN,1772,28720.623,42171.797,19256996,171474.25,1162774.6,1890724.5
China,CHN,1773,29419.412,43193.56,19723564,175628.81,1191204.8,1936563.6
China,CHN,1774,30118.012,44214.824,20189908,179781.38,1219633.4,1982382.1
China,CHN,1775,30816.414,45235.6,20656028,183931.95,1248061,2028179.9
China,CHN,1776,31514.621,46255.887,21121922,188080.5,1276487.2,2073957.2
China,CHN,1777,32212.639,47275.68,21587592,192227.08,1304912.5,2119714
China,CHN,1778,32910.453,48294.984,22053040,196371.66,1333336.2,2165450.2
China,CHN,1779,33608.082,49313.797,22518260,200514.23,1361758.9,2211165.5
China,CHN,1780,34305.51,50332.113,22983258,204654.81,1390180.2,2256860.2
China,CHN,1781,34470.805,50569.09,23091466,205618.36,1397057.2,2267524.5
China,CHN,1782,34636.047,50805.926,23199616,206581.38,1403933.9,2278182.8
China,CHN,1783,34801.234,51042.637,23307706,207543.86,1410810,2288835.8
China,CHN,1784,34966.375,51279.215,23415734,208505.81,1417686,2299483.2
China,CHN,1785,35131.457,51515.668,23523706,209467.22,1424561.6,2310125.2
China,CHN,1786,35296.492,51751.984,23631616,210428.11,1431437,2320761.8
China,CHN,1787,35461.477,51988.17,23739464,211388.47,1438312,2331392.8
China,CHN,1788,35626.406,52224.227,23847256,212348.31,1445186.6,2342018
China,CHN,1789,35791.285,52460.152,23954988,213307.61,1452060.9,2352638.5
China,CHN,1790,35956.113,52695.95,24062660,214266.36,1458934.9,2363253
China,CHN,1791,35759.914,52402.09,23928474,213071.5,1451177.6,2350117.8
China,CHN,1792,35563.773,52108.387,23794362,211877.28,1443420.8,2336989.5
China,CHN,1793,35367.703,51814.848,23660320,210683.73,1435664.2,2323867.8
China,CHN,1794,35171.69,51521.47,23526354,209490.83,1427908.2,2310752.8
China,CHN,1795,34975.746,51228.25,23392460,208298.56,1420152.6,2297644.5
China,CHN,1796,34779.863,50935.188,23258640,207106.95,1412397.4,2284543.2
China,CHN,1797,34584.04,50642.29,23124892,205916,1404642.4,2271448.2
China,CHN,1798,34388.28,50349.543,22991216,204725.69,1396888,2258360
China,CHN,1799,34192.59,50056.965,22857616,203536.03,1389133.9,2245278.5
China,CHN,1800,33996.957,49764.547,22724088,202347.03,1381380.2,2232204
China,CHN,1801,34491.24,50407.242,23017562,204960.28,1402435.2,2261078.5
China,CHN,1802,34986.68,51049.523,23310850,207571.86,1423562.8,2289935.8
China,CHN,1803,35483.277,51691.39,23603946,210181.75,1444762.9,2318775.5
China,CHN,1804,35981.035,52332.84,23896854,212789.95,1466035.1,2347598
China,CHN,1805,36479.95,52973.875,24189572,215396.45,1487380.1,2376402.8
China,CHN,1806,36980.027,53614.5,24482100,218001.28,1508797.5,2405190.5
China,CHN,1807,37480.355,54254.707,24774440,220604.42,1530236.8,2433960.8
China,CHN,1808,37982.734,54894.496,25066588,223205.86,1551798.4,2462713.5
China,CHN,1809,38486.273,55533.875,25358548,225805.62,1573432.6,2491448.8
China,CHN,1810,38990.977,56172.836,25650318,228403.7,1595139.1,2520166.8
China,CHN,1811,38999.355,56095.094,25614818,228087.58,1596575.5,2516735.5
China,CHN,1812,39007.637,56017.387,25579336,227771.62,1598005.4,2513306
China,CHN,1813,39015.812,55939.723,25543872,227455.84,1599428.9,2509878
China,CHN,1814,39023.887,55862.098,25508426,227140.22,1600846,2506451.8
China,CHN,1815,39031.86,55784.516,25472998,226824.75,1602256.6,2503027.2
China,CHN,1816,39038.797,55706.97,25437590,226509.44,1603608.9,2499604.5
China,CHN,1817,39046.57,55629.47,25402200,226194.33,1605006.6,2496183.2
China,CHN,1818,39054.24,55552.004,25366826,225879.34,1606398.1,2492764
China,CHN,1819,39061.805,55474.582,25331474,225564.55,1607783.1,2489346.5
China,CHN,1820,39069.266,55397.203,25296138,225249.89,1609161.8,2485930.2
