Entity,Code,Year,"Physicians (per 1,000 people)","Physicians (per 1,000 people) (Original Year)"
Afghanistan,AFG,2023,0.317,
Albania,ALB,2023,1.879,2020
Algeria,DZA,2023,1.66,2022
Andorra,AND,2023,5.068,
Angola,AGO,2023,0.244,2022
Argentina,ARG,2023,5.106,
Armenia,ARM,2023,3.36,2022
Australia,AUS,2023,4.086,2022
Austria,AUT,2023,5.515,
Azerbaijan,AZE,2023,3.185,2022
Bahrain,BHR,2023,0.741,2020
Bangladesh,BGD,2023,0.722,
Barbados,BRB,2023,2.958,2022
Belarus,BLR,2023,4.717,
Belgium,BEL,2023,3.574,2022
Benin,BEN,2023,0.216,
Bhutan,BTN,2023,0.553,2022
Bolivia,BOL,2023,1.284,2021
Botswana,BWA,2023,0.379,
Brazil,BRA,2023,2.357,
Brunei,BRN,2023,1.886,2021
Bulgaria,BGR,2023,4.328,2022
Burkina Faso,BFA,2023,0.148,2022
Burundi,BDI,2023,0.078,2022
Cameroon,CMR,2023,0.136,2022
Canada,CAN,2023,2.819,
Cape Verde,CPV,2023,0.73,
Central African Republic,CAF,2023,0.074,
Chad,TCD,2023,0.085,
Chile,CHL,2023,3.334,
China,CHN,2023,3.112,2022
Colombia,COL,2023,2.535,
Comoros,COM,2023,0.424,2022
Congo,COG,2023,0.173,2022
Costa Rica,CRI,2023,2.687,2022
Cote d'Ivoire,CIV,2023,0.166,
Croatia,HRV,2023,3.909,2022
Cuba,CUB,2023,9.542,2021
Cyprus,CYP,2023,3.556,2022
Czechia,CZE,2023,4.352,2022
Democratic Republic of Congo,COD,2023,0.208,2022
Denmark,DNK,2023,4.498,2021
Djibouti,DJI,2023,0.211,2022
Dominican Republic,DOM,2023,2.426,
East Timor,TLS,2023,0.752,2020
Ecuador,ECU,2023,2.313,2020
Egypt,EGY,2023,0.671,2020
El Salvador,SLV,2023,1.616,
Equatorial Guinea,GNQ,2023,0.153,2022
Eritrea,ERI,2023,0.088,2022
Estonia,EST,2023,3.469,2022
Eswatini,SWZ,2023,0.557,
Ethiopia,ETH,2023,0.143,
Finland,FIN,2023,3.609,2021
France,FRA,2023,3.281,2022
Gabon,GAB,2023,0.521,2022
Gambia,GMB,2023,0.09,
Georgia,GEO,2023,5.642,
Germany,DEU,2023,4.534,2022
Ghana,GHA,2023,0.266,
Greece,GRC,2023,6.576,2022
Guatemala,GTM,2023,1.281,2020
Guinea,GIN,2023,0.21,2022
Guinea-Bissau,GNB,2023,0.252,2022
Guyana,GUY,2023,1.387,2020
Haiti,HTI,2023,0.292,2022
Honduras,HND,2023,0.489,2020
Hungary,HUN,2023,3.456,2022
Iceland,ISL,2023,4.373,
India,IND,2023,0.723,2020
Indonesia,IDN,2023,0.524,
Iran,IRN,2023,1.811,
Iraq,IRQ,2023,1.022,2022
Ireland,IRL,2023,3.875,
Israel,ISR,2023,3.797,
Italy,ITA,2023,4.191,2022
Jamaica,JAM,2023,0.46,
Japan,JPN,2023,2.649,2022
Jordan,JOR,2023,2.851,2022
Kazakhstan,KAZ,2023,3.754,
Kenya,KEN,2023,0.289,
Kuwait,KWT,2023,2.273,2020
Kyrgyzstan,KGZ,2023,1.568,
Laos,LAO,2023,0.331,2022
Latvia,LVA,2023,3.398,2022
Lebanon,LBN,2023,2.68,2020
Lesotho,LSO,2023,0.235,2022
Liberia,LBR,2023,0.178,2022
Lithuania,LTU,2023,4.466,2022
Madagascar,MDG,2023,0.172,2022
Malawi,MWI,2023,0.054,2022
Malaysia,MYS,2023,2.341,
Mali,MLI,2023,0.188,
Malta,MLT,2023,4.513,2022
Mauritania,MRT,2023,0.261,2022
Mauritius,MUS,2023,1.436,2022
Mexico,MEX,2023,2.588,2022
Micronesia (country),FSM,2023,0.974,2020
Moldova,MDA,2023,4.016,
Monaco,MCO,2023,8.609,2020
Mongolia,MNG,2023,4.13,2022
Montenegro,MNE,2023,2.783,
Morocco,MAR,2023,0.74,2021
Mozambique,MOZ,2023,0.175,2022
Namibia,NAM,2023,0.553,2022
Nepal,NPL,2023,1.011,
Netherlands,NLD,2023,3.876,2022
New Zealand,NZL,2023,3.611,2022
Niger,NER,2023,0.038,
Nigeria,NGA,2023,0.38,
North Macedonia,MKD,2023,2.944,2022
Norway,NOR,2023,4.975,
Oman,OMN,2023,1.992,2022
Pakistan,PAK,2023,1.16,2021
Palau,PLW,2023,1.808,
Panama,PAN,2023,1.625,2022
Papua New Guinea,PNG,2023,0.061,
Paraguay,PRY,2023,3.893,2022
Peru,PER,2023,1.688,
Philippines,PHL,2023,0.792,2021
Poland,POL,2023,4.031,
Portugal,PRT,2023,5.851,2022
Qatar,QAT,2023,3.022,
Romania,ROU,2023,3.625,2022
Russia,RUS,2023,5.111,2022
Rwanda,RWA,2023,0.09,2022
Saint Lucia,LCA,2023,4.234,2020
Samoa,WSM,2023,0.561,2021
San Marino,SMR,2023,4.629,
Sao Tome and Principe,STP,2023,0.464,2022
Saudi Arabia,SAU,2023,3.406,
Senegal,SEN,2023,0.109,
Serbia,SRB,2023,3.099,2022
Seychelles,SYC,2023,6.598,2022
Sierra Leone,SLE,2023,0.134,2022
Singapore,SGP,2023,2.834,2022
Slovakia,SVK,2023,3.697,2022
Slovenia,SVN,2023,3.367,2022
Solomon Islands,SLB,2023,0.238,
South Africa,ZAF,2023,0.794,2022
South Korea,KOR,2023,2.61,2022
South Sudan,SSD,2023,0.041,2022
Spain,ESP,2023,4.294,2022
Sri Lanka,LKA,2023,1.136,
Suriname,SUR,2023,1.355,
Sweden,SWE,2023,4.408,2021
Switzerland,CHE,2023,4.477,2022
Syria,SYR,2023,1.521,2021
Tajikistan,TJK,2023,1.87,
Tanzania,TZA,2023,0.134,2022
Thailand,THA,2023,0.541,2021
Togo,TGO,2023,0.08,2022
Tonga,TON,2023,1.014,2021
Trinidad and Tobago,TTO,2023,4.157,2021
Tunisia,TUN,2023,1.315,2021
Turkey,TUR,2023,2.236,2022
Turkmenistan,TKM,2023,1.93,
Tuvalu,TUV,2023,1.346,2020
Uganda,UGA,2023,0.191,2022
Ukraine,UKR,2023,3.531,
United Arab Emirates,ARE,2023,2.992,
United Kingdom,GBR,2023,3.301,
United States,USA,2023,3.681,2022
Uruguay,URY,2023,4.674,2022
Uzbekistan,UZB,2023,2.805,2021
Vietnam,VNM,2023,1.107,2021
Yemen,YEM,2023,0.098,
Zambia,ZMB,2023,0.324,2022
Zimbabwe,ZWE,2023,0.136,
