Entity,Code,Year,Value
Canada,CAN,1976,30.91
Canada,CAN,1981,35.29
Canada,CAN,2006,55.98
Canada,CAN,2010,57.323753
Canada,CAN,2011,59.64
Canada,CAN,2012,58.954697
Canada,CAN,2013,59.44328
Canada,CAN,2014,59.847675
Canada,CAN,2015,60.882374
Canada,CAN,2016,60.41
Canada,CAN,2017,62.278526
Canada,CAN,2018,63.191956
Canada,CAN,2019,64.557915
Canada,CAN,2020,65.32565
China,CHN,1982,1.02
China,CHN,1990,2
China,CHN,2000,4.27
China,CHN,2020,16.12
Saudi Arabia,SAU,2000,12.04
Saudi Arabia,SAU,2004,19.5
Saudi Arabia,SAU,2013,25.89
Saudi Arabia,SAU,2017,31.48
Saudi Arabia,SAU,2018,30.910767
Saudi Arabia,SAU,2019,30.366312
Saudi Arabia,SAU,2020,37.92
Ukraine,UKR,1970,5.96
Ukraine,UKR,2001,38.14
United Kingdom,GBR,1971,0
United Kingdom,GBR,2009,31.57
United Kingdom,GBR,2010,33.81
United Kingdom,GBR,2011,33.06
United Kingdom,GBR,2012,36.95
United Kingdom,GBR,2013,0
United Kingdom,GBR,2014,0
United Kingdom,GBR,2015,39.789413
United Kingdom,GBR,2016,40.5749
United Kingdom,GBR,2017,0
United Kingdom,GBR,2018,41.59309
United Kingdom,GBR,2019,42.99926
United Kingdom,GBR,2020,0
