Entity,Code,Year,Value
Afghanistan,AFG,2002,9.44339
Afghanistan,AFG,2003,8.94126
Afghanistan,AFG,2004,9.80847
Afghanistan,AFG,2005,9.94829
Afghanistan,AFG,2006,10.62277
Afghanistan,AFG,2007,9.90467
Afghanistan,AFG,2008,10.2565
Afghanistan,AFG,2009,9.81849
Afghanistan,AFG,2010,8.56967
Afghanistan,AFG,2011,8.56191
Afghanistan,AFG,2012,7.89717
Afghanistan,AFG,2013,8.80596
Afghanistan,AFG,2014,9.52888
Afghanistan,AFG,2015,10.10535
Afghanistan,AFG,2016,11.81859
Afghanistan,AFG,2017,12.62082
Afghanistan,AFG,2018,14.20842
Afghanistan,AFG,2019,14.83132
Afghanistan,AFG,2020,15.53361
Afghanistan,AFG,2021,21.50846
Afghanistan,AFG,2022,23.08817
China,CHN,2000,4.50828
China,CHN,2001,4.2533
China,CHN,2002,4.38285
China,CHN,2003,4.41763
China,CHN,2004,4.29347
China,CHN,2005,4.17605
China,CHN,2006,3.94742
China,CHN,2007,3.67491
China,CHN,2008,3.9
China,CHN,2009,4.34958
China,CHN,2010,4.23068
China,CHN,2011,4.34274
China,CHN,2012,4.56585
China,CHN,2013,4.71491
China,CHN,2014,4.77791
China,CHN,2015,4.93828
China,CHN,2016,4.97956
China,CHN,2017,5.06592
China,CHN,2018,5.1679
China,CHN,2019,5.35028
China,CHN,2020,5.5936
China,CHN,2021,5.38361
China,CHN,2022,5.36949
India,IND,2000,4.10568
India,IND,2001,4.33754
India,IND,2002,4.31453
India,IND,2003,4.07878
India,IND,2004,4.02679
India,IND,2005,3.85508
India,IND,2006,3.66902
India,IND,2007,3.58104
India,IND,2008,3.58856
India,IND,2009,3.54638
India,IND,2010,3.33626
India,IND,2011,3.24634
India,IND,2012,3.32935
India,IND,2013,3.74944
India,IND,2014,3.61957
India,IND,2015,3.59566
India,IND,2016,3.5043
India,IND,2017,2.93598
India,IND,2018,2.85849
India,IND,2019,2.953
India,IND,2020,3.34146
India,IND,2021,3.34681
India,IND,2022,3.30588
Pakistan,PAK,2000,2.48079
Pakistan,PAK,2001,2.3396
Pakistan,PAK,2002,2.4222
Pakistan,PAK,2003,2.10399
Pakistan,PAK,2004,2.03666
Pakistan,PAK,2005,2.37324
Pakistan,PAK,2006,2.73132
Pakistan,PAK,2007,2.62371
Pakistan,PAK,2008,2.56807
Pakistan,PAK,2009,2.49996
Pakistan,PAK,2010,2.42968
Pakistan,PAK,2011,2.23121
Pakistan,PAK,2012,2.22185
Pakistan,PAK,2013,2.41648
Pakistan,PAK,2014,2.48899
Pakistan,PAK,2015,2.49493
Pakistan,PAK,2016,2.57026
Pakistan,PAK,2017,2.7863
Pakistan,PAK,2018,2.82845
Pakistan,PAK,2019,2.84737
Pakistan,PAK,2020,2.95273
Pakistan,PAK,2021,2.99016
Pakistan,PAK,2022,2.90434
Russia,RUS,2000,5.0199
Russia,RUS,2001,5.24285
Russia,RUS,2002,5.52167
Russia,RUS,2003,5.16369
Russia,RUS,2004,4.76038
Russia,RUS,2005,4.77177
Russia,RUS,2006,4.76654
Russia,RUS,2007,4.74793
Russia,RUS,2008,4.90364
Russia,RUS,2009,5.64392
Russia,RUS,2010,4.97112
Russia,RUS,2011,4.79491
Russia,RUS,2012,4.93638
Russia,RUS,2013,5.08105
Russia,RUS,2014,5.1821
Russia,RUS,2015,5.29604
Russia,RUS,2016,5.2897
Russia,RUS,2017,5.3589
Russia,RUS,2018,5.35521
Russia,RUS,2019,5.64849
Russia,RUS,2020,8.04076
Russia,RUS,2021,6.97584
Russia,RUS,2022,6.91986
United Kingdom,GBR,2000,7.15693
United Kingdom,GBR,2001,7.45211
United Kingdom,GBR,2002,7.87847
United Kingdom,GBR,2003,8.07831
United Kingdom,GBR,2004,8.33868
United Kingdom,GBR,2005,8.39431
United Kingdom,GBR,2006,8.54523
United Kingdom,GBR,2007,8.75711
United Kingdom,GBR,2008,9.04034
United Kingdom,GBR,2009,9.84771
United Kingdom,GBR,2010,9.78938
United Kingdom,GBR,2011,9.79562
United Kingdom,GBR,2012,9.8916
United Kingdom,GBR,2013,9.97822
United Kingdom,GBR,2014,9.90306
United Kingdom,GBR,2015,9.83625
United Kingdom,GBR,2016,9.76547
United Kingdom,GBR,2017,9.60017
United Kingdom,GBR,2018,9.73838
United Kingdom,GBR,2019,9.95388
United Kingdom,GBR,2020,11.96548
United Kingdom,GBR,2021,12.01903
United Kingdom,GBR,2022,11.05088
United States,USA,2000,12.49003
United States,USA,2001,13.16817
United States,USA,2002,13.99535
United States,USA,2003,14.50558
United States,USA,2004,14.55123
United States,USA,2005,14.57946
United States,USA,2006,14.70878
United States,USA,2007,14.91833
United States,USA,2008,15.20724
United States,USA,2009,16.20068
United States,USA,2010,16.19723
United States,USA,2011,16.14001
United States,USA,2012,16.11975
United States,USA,2013,15.98622
United States,USA,2014,16.19414
United States,USA,2015,16.4816
United States,USA,2016,16.79114
United States,USA,2017,16.75301
United States,USA,2018,16.61531
United States,USA,2019,16.66125
United States,USA,2020,18.81325
United States,USA,2021,17.50639
United States,USA,2022,16.49614
